title,price,rating,reviews,availability
Apple iPhone 11 Pro Leather Folio - Peacock,,4.3 out of 5 stars,24 ratings,In Stock
Apple iPhone 11 Pro Max Leather Folio - Raspberry,,4.2 out of 5 stars,45 ratings,In Stock
Apple iPhone 11 Pro Max Clear Case,,4.6 out of 5 stars,"17,583 ratings",In Stock
Apple iPhone 14 Clear Case with MagSafe ​​​​​​​,,4.5 out of 5 stars,280 ratings,In Stock
"Apple iPhone SE 2020 (64GB, 3GB) 4.7"" Retina IPS LCD, A13 Bionic, IP67 Water Resistant, Black - Fully Unlocked A2275 (Renewed)",,4.3 out of 5 stars,"2,968 ratings",In Stock.
"Apple iPhone 12, 64GB, Blue - Fully Unlocked (Renewed)",,4.2 out of 5 stars,"5,422 ratings",Only 2 left in stock.
"Apple iPhone 12 Mini, 64GB, Red - Fully Unlocked (Renewed)",,4.2 out of 5 stars,"4,508 ratings",Only 1 left in stock.
"Apple iPhone 8, 64GB, Silver (Renewed)",,4.3 out of 5 stars,"4,260 ratings",Only 4 left in stock.
"Apple iPhone 11, US Version, 64GB, Black - Unlocked (Renewed)",,4.3 out of 5 stars,"7,838 ratings",In Stock.
"Apple iPhone 8 64 GB, Space Grey (Renewed)",,4.4 out of 5 stars,"1,238 ratings",In Stock.
"Apple iPhone XR, 64GB, Black - Fully Unlocked (Renewed)",,4.2 out of 5 stars,"13,569 ratings",Only 3 left in stock.
"Apple iPhone 8, Fully Unlocked, 64GB - Gold (Renewed)",,4.1 out of 5 stars,"12,868 ratings",In Stock.
"Apple iPhone XR, 64GB, Red - Fully Unlocked (Renewed)",,4.0 out of 5 stars,"8,194 ratings",Only 6 left in stock.
"Apple iPhone SE, 64GB, White - Fully Unlocked (Renewed)",,4.3 out of 5 stars,"2,022 ratings",Only 5 left in stock.
Apple iPhone 7 - 32GB - GSM Unlocked - Black (Renewed),,4.2 out of 5 stars,90 ratings,Only 3 left in stock.
"Apple iPhone 12 Pro Max, 256GB, Pacific Blue - Unlocked (Renewed)",,4.2 out of 5 stars,"1,473 ratings",Only 3 left in stock.
"Apple iPhone 11, 64GB, Unlocked - Red (Renewed)",,4.3 out of 5 stars,"3,946 ratings",Only 4 left in stock.
"Apple iPhone 11, 64GB, Purple - Fully Unlocked (Renewed)",,4.4 out of 5 stars,"4,874 ratings",Only 4 left in stock.
"Apple iPhone Xs, Fully Unlocked, 64 GB - Space Gray (Renewed)",,4.2 out of 5 stars,"5,380 ratings",In Stock.
"Apple iPhone 11 Pro, US Version, 64GB, Midnight Green - Unlocked (Renewed)",,4.3 out of 5 stars,"2,512 ratings",Only 3 left in stock.
